epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.353,1.8397,3.83821,2.19203,0.00577,0.19444,0.00342,0.0009,2.56416,inf,3.715,0.07723,0.00023,0.00023
2,75.4967,1.35916,2.0589,1.73275,0,0,0,0,nan,nan,nan,0.0534684,0.000468449,0.000468449
3,108.228,1.44494,1.84427,1.77654,0,0,0,0,nan,nan,nan,0.0297053,0.000705314,0.000705314
4,139.194,1.29004,1.59145,1.62683,0,0,0,0,nan,nan,nan,0.00594059,0.000940595,0.000940595
5,171.4,1.30004,1.61532,1.65121,0,0,0,0,nan,nan,nan,0.0009868,0.0009868,0.0009868
6,202.351,1.2385,1.40316,1.58001,0.56671,0.22222,0.0618,0.01111,nan,nan,nan,0.0009835,0.0009835,0.0009835
7,234.759,1.29964,1.40702,1.66573,0.02148,0.18056,0.01751,0.00509,2.6567,9.42864,5.35745,0.0009802,0.0009802,0.0009802
8,265.696,1.11581,1.24571,1.50482,0.71001,0.375,0.25683,0.09984,2.00713,4.70143,3.03702,0.0009769,0.0009769,0.0009769
9,298.127,1.16338,1.18097,1.53076,0.14684,0.47222,0.35957,0.17229,1.59812,12.9614,3.01523,0.0009736,0.0009736,0.0009736
10,329.214,1.04769,1.19695,1.44657,0.25354,0.54167,0.35081,0.19825,1.30097,9.7602,2.36767,0.0009703,0.0009703,0.0009703
11,361.71,1.13962,1.1708,1.51931,0.75747,0.58544,0.73665,0.43792,1.03027,3.12031,1.63784,0.000967,0.000967,0.000967
12,392.941,1.05333,1.11808,1.42405,0.52878,0.79167,0.62373,0.38513,1.05031,2.1959,1.8243,0.0009637,0.0009637,0.0009637
13,425.211,1.03233,1.02183,1.408,0.65188,0.93056,0.8329,0.42918,1.28734,2.32943,2.37354,0.0009604,0.0009604,0.0009604
14,456.353,1.05209,1.07648,1.45083,0.1118,0.45833,0.09088,0.03621,2.1177,3.99748,3.30007,0.0009571,0.0009571,0.0009571
15,488.635,1.04285,1.06669,1.42243,0.50901,0.68056,0.70779,0.48713,0.98355,1.45404,1.52501,0.0009538,0.0009538,0.0009538
16,519.857,1.05649,1.10346,1.43723,0.91589,0.93056,0.94852,0.62889,0.82139,2.06815,1.39644,0.0009505,0.0009505,0.0009505
17,552.376,0.97288,1.08894,1.37482,0.87469,0.92026,0.95289,0.63449,0.81623,1.50954,1.43668,0.0009472,0.0009472,0.0009472
18,583.591,0.96723,1.02721,1.37934,0.6515,0.63889,0.74899,0.46838,1.03471,1.53271,1.69571,0.0009439,0.0009439,0.0009439
19,615.857,0.93643,1.01473,1.36071,0.72574,0.59722,0.71227,0.36969,1.66017,1.3896,2.13739,0.0009406,0.0009406,0.0009406
20,646.763,0.97149,1.01362,1.37014,0.7544,0.80556,0.82869,0.58181,0.72195,1.2414,1.28251,0.0009373,0.0009373,0.0009373
21,679.019,0.90556,0.95087,1.31648,0.8617,0.80556,0.8926,0.525,1.03521,1.27925,1.64732,0.000934,0.000934,0.000934
22,709.915,0.92487,0.98075,1.35236,0.86499,0.79566,0.891,0.54828,1.0353,1.0321,1.52191,0.0009307,0.0009307,0.0009307
23,742.166,0.96483,1.01029,1.38814,0.73804,0.86111,0.86671,0.60792,0.89401,1.07502,1.4243,0.0009274,0.0009274,0.0009274
24,773.018,0.95684,0.98409,1.36675,0.90775,0.93085,0.9404,0.60419,1.02946,1.35074,1.58543,0.0009241,0.0009241,0.0009241
25,805.254,0.91264,1.00976,1.32028,0.53201,0.66667,0.67202,0.40569,1.11922,1.73689,1.7027,0.0009208,0.0009208,0.0009208
26,836.14,0.87235,0.96644,1.3203,0.81231,0.9359,0.91799,0.69656,0.71015,0.88501,1.2421,0.0009175,0.0009175,0.0009175
27,868.586,0.86936,0.90525,1.28165,0.91761,1,0.93921,0.71232,0.76432,0.58927,1.30865,0.0009142,0.0009142,0.0009142
28,899.824,0.87759,0.88234,1.32333,0.78245,0.73611,0.73758,0.51803,0.93673,0.88363,1.38458,0.0009109,0.0009109,0.0009109
29,932.057,0.8783,0.8871,1.32652,0.87276,0.86999,0.92066,0.60235,0.96711,0.81679,1.46263,0.0009076,0.0009076,0.0009076
30,962.965,0.80707,0.79224,1.26797,0.87072,0.86111,0.94893,0.76057,0.63321,0.67866,1.13372,0.0009043,0.0009043,0.0009043
31,995.522,0.88245,0.85159,1.32482,0.67547,0.79367,0.79115,0.5669,0.90622,1.56158,1.40003,0.000901,0.000901,0.000901
32,1026.46,0.92617,0.90971,1.34407,0.76003,0.64526,0.71092,0.31835,1.6159,1.92056,2.53158,0.0008977,0.0008977,0.0008977
33,1058.74,0.84984,0.86762,1.29393,0.89934,0.98361,0.98663,0.64363,0.85586,0.74466,1.34421,0.0008944,0.0008944,0.0008944
34,1089.58,0.86483,0.883,1.29505,0.72943,0.86111,0.79121,0.49529,1.0434,1.20216,1.57364,0.0008911,0.0008911,0.0008911
35,1121.79,0.82498,0.85215,1.27127,0.81475,0.79029,0.86134,0.5612,0.96796,0.96071,1.51112,0.0008878,0.0008878,0.0008878
36,1152.68,0.84481,0.85275,1.27899,0.43757,0.36111,0.39669,0.23279,1.88623,3.01019,2.1408,0.0008845,0.0008845,0.0008845
37,1184.9,0.78673,0.83914,1.23725,0.86404,0.73611,0.79798,0.48526,0.95964,1.16684,1.52721,0.0008812,0.0008812,0.0008812
38,1215.81,0.83389,0.86295,1.29609,0.71744,0.56944,0.69236,0.35005,1.53684,1.77515,2.10023,0.0008779,0.0008779,0.0008779
39,1248.06,0.77873,0.78867,1.24837,0.90663,0.98611,0.99045,0.72962,0.69997,0.61461,1.21385,0.0008746,0.0008746,0.0008746
40,1278.98,0.78236,0.80643,1.23967,0.90258,0.99108,0.9879,0.68484,0.70727,0.52502,1.25137,0.0008713,0.0008713,0.0008713
41,1311.28,0.81211,0.81903,1.24372,0.90298,0.91541,0.98488,0.74614,0.66905,0.51372,1.16055,0.000868,0.000868,0.000868
42,1342.17,0.82354,0.78862,1.2412,0.97349,0.94444,0.98549,0.76883,0.73138,0.47713,1.25072,0.0008647,0.0008647,0.0008647
43,1374.75,0.81614,0.80773,1.26978,0.94027,0.90202,0.96368,0.77186,0.62809,0.61931,1.15232,0.0008614,0.0008614,0.0008614
44,1405.86,0.76428,0.76842,1.25178,0.79802,0.41667,0.53746,0.32698,1.84463,2.39058,2.13618,0.0008581,0.0008581,0.0008581
45,1438.11,0.76616,0.776,1.22859,0.97403,0.95833,0.98148,0.75151,0.71584,0.55701,1.24799,0.0008548,0.0008548,0.0008548
46,1469.08,0.78273,0.76902,1.25073,0.46461,0.65278,0.55224,0.21304,1.9768,2.8757,3.21468,0.0008515,0.0008515,0.0008515
47,1501.31,0.77623,0.76719,1.25215,0.93175,0.92727,0.95345,0.74102,0.67478,0.58261,1.24189,0.0008482,0.0008482,0.0008482
48,1532.22,0.7742,0.77898,1.24841,0.79008,0.88785,0.81667,0.63132,0.67302,0.7146,1.19013,0.0008449,0.0008449,0.0008449
49,1564.43,0.76632,0.75961,1.23417,0.8526,0.94456,0.96348,0.76617,0.66106,0.72578,1.16551,0.0008416,0.0008416,0.0008416
50,1595.36,0.75741,0.72151,1.21942,0.7551,0.89436,0.86603,0.62132,0.88673,0.92781,1.34752,0.0008383,0.0008383,0.0008383
51,1627.58,0.71508,0.71377,1.18447,0.21741,0.41667,0.14293,0.06342,2.24156,4.21061,3.84358,0.000835,0.000835,0.000835
52,1658.5,0.75061,0.7589,1.23357,0.94321,0.97222,0.97448,0.81855,0.57419,0.47849,1.14266,0.0008317,0.0008317,0.0008317
53,1691.01,0.75047,0.78088,1.23179,0.9523,0.91667,0.98283,0.83158,0.62616,0.50637,1.1342,0.0008284,0.0008284,0.0008284
54,1722.08,0.78353,0.7587,1.24409,0.61216,0.61703,0.70463,0.40545,1.34878,1.88132,1.74985,0.0008251,0.0008251,0.0008251
55,1754.3,0.78953,0.72893,1.23054,0.45639,0.56944,0.47919,0.33859,1.03313,1.55163,1.49266,0.0008218,0.0008218,0.0008218
56,1785.22,0.74185,0.70061,1.21315,0.91353,0.76389,0.93863,0.71035,0.75614,0.75003,1.33618,0.0008185,0.0008185,0.0008185
57,1817.39,0.72592,0.70803,1.22483,0.4261,0.25,0.2591,0.13319,2.30081,4.60353,2.84604,0.0008152,0.0008152,0.0008152
58,1848.25,0.75341,0.69902,1.23646,0.97863,0.95833,0.98713,0.75074,0.67562,0.48029,1.19468,0.0008119,0.0008119,0.0008119
59,1880.53,0.76437,0.73129,1.21585,0.93708,0.91667,0.96184,0.71475,0.70867,0.55812,1.26026,0.0008086,0.0008086,0.0008086
60,1911.42,0.73373,0.72999,1.19326,0.75543,0.93056,0.88821,0.65315,0.79363,0.90665,1.27488,0.0008053,0.0008053,0.0008053
61,1943.75,0.72936,0.75666,1.20791,0.86141,0.90902,0.94143,0.73996,0.60727,0.77282,1.11901,0.000802,0.000802,0.000802
62,1974.6,0.75271,0.74284,1.21925,0.98185,0.93018,0.98555,0.80378,0.59994,0.57188,1.15453,0.0007987,0.0007987,0.0007987
63,2006.97,0.67519,0.69268,1.17736,0.91792,0.97222,0.98093,0.76949,0.63466,0.50471,1.17933,0.0007954,0.0007954,0.0007954
64,2037.84,0.68688,0.67013,1.17724,0.92425,0.91625,0.97569,0.8135,0.58871,0.53105,1.13533,0.0007921,0.0007921,0.0007921
65,2070.03,0.7035,0.70216,1.19688,0.95998,0.94998,0.98673,0.80659,0.62881,0.43586,1.16429,0.0007888,0.0007888,0.0007888
66,2100.92,0.71653,0.66791,1.19945,0.92369,0.96974,0.96813,0.78862,0.60758,0.45757,1.19569,0.0007855,0.0007855,0.0007855
