epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6275,3.67627,4.46498,2.23909,0.61161,0.17511,0.09858,0.03568,2.50517,6.43235,1.72239,0.08812,0.00012,0.00012
2,49.6972,1.77306,2.04534,1.2039,0.17475,0.19702,0.10343,0.04455,nan,nan,nan,0.0752492,0.000249175,0.000249175
3,67.446,1.46241,1.09769,1.0635,0,0,0,0,nan,nan,nan,0.0623775,0.000377492,0.000377492
4,86.1338,1.45218,0.93299,1.08638,0,0,0,0,nan,nan,nan,0.049505,0.000504951,0.000504951
5,103.683,1.40823,0.86056,1.07766,0,0,0,0,nan,nan,nan,0.0366316,0.000631552,0.000631552
6,122.548,1.44558,0.88006,1.05096,0.0038,0.02321,0.00199,0.00074,nan,nan,nan,0.0237573,0.000757295,0.000757295
7,139.967,1.43494,0.891,1.08049,0,0,0,0,nan,nan,nan,0.0108822,0.00088218,0.00088218
8,158.571,1.43221,0.87687,1.05365,0,0,0,0,nan,nan,nan,0.0009769,0.0009769,0.0009769
9,175.951,1.43266,0.85787,1.07382,0,0,0,0,nan,nan,nan,0.0009736,0.0009736,0.0009736
10,194.477,1.39225,0.8477,1.04095,0.27183,0.01077,0.02561,0.00595,nan,nan,nan,0.0009703,0.0009703,0.0009703
11,211.867,1.44701,0.79538,1.05345,0.45929,0.06181,0.08675,0.02832,nan,nan,nan,0.000967,0.000967,0.000967
12,230.428,1.40219,0.85792,1.07845,0.65402,0.26317,0.29525,0.13597,nan,nan,nan,0.0009637,0.0009637,0.0009637
13,248.1,1.37455,0.7725,1.03792,0.6893,0.59746,0.64009,0.2775,1.59735,1.09126,1.24469,0.0009604,0.0009604,0.0009604
14,267.034,1.38217,0.78353,1.04671,0.85253,0.36076,0.49353,0.2492,1.39742,3.39843,1.14315,0.0009571,0.0009571,0.0009571
15,284.44,1.3531,0.83487,0.99906,0.70752,0.35148,0.46372,0.19854,1.72585,4.41621,1.31646,0.0009538,0.0009538,0.0009538
16,303.087,1.34385,0.8119,1.01058,0.60187,0.65046,0.61198,0.27767,1.39616,1.56858,1.11142,0.0009505,0.0009505,0.0009505
17,320.484,1.35033,0.76838,1.02268,0.54304,0.78434,0.67437,0.29281,1.4992,1.62304,1.11085,0.0009472,0.0009472,0.0009472
18,339.394,1.30513,0.70505,1.00071,0.71565,0.76986,0.79265,0.39006,1.26374,0.89342,1.04869,0.0009439,0.0009439,0.0009439
19,357.076,1.32525,0.69628,1.01739,0.56554,0.64707,0.68723,0.32202,1.44583,1.05194,1.11534,0.0009406,0.0009406,0.0009406
20,375.715,1.27398,0.67621,0.99859,0.54139,0.69486,0.72578,0.32267,1.56487,1.06862,1.15701,0.0009373,0.0009373,0.0009373
21,393.141,1.2775,0.70197,1.02549,0.72708,0.74923,0.7577,0.35602,1.40974,0.80011,1.15096,0.000934,0.000934,0.000934
22,411.699,1.289,0.71733,1.00562,0.7783,0.78077,0.80538,0.37456,1.39381,0.86223,1.1437,0.0009307,0.0009307,0.0009307
23,429.137,1.31664,0.6724,0.9966,0.68019,0.7091,0.68626,0.29701,1.66956,0.94395,1.17005,0.0009274,0.0009274,0.0009274
24,448.024,1.33555,0.72971,1.01161,0.58617,0.44841,0.49335,0.24517,1.53367,1.69677,1.15493,0.0009241,0.0009241,0.0009241
25,465.424,1.22877,0.66623,0.97528,0.66994,0.46707,0.55301,0.27471,1.56274,1.80185,1.1537,0.0009208,0.0009208,0.0009208
26,484.083,1.26293,0.68313,0.99775,0.63324,0.78165,0.66556,0.30866,1.44792,0.84764,1.09564,0.0009175,0.0009175,0.0009175
27,501.467,1.15377,2.90757,0.91331,0.70504,0.818,0.78822,0.41748,1.23221,0.72483,1.065,0.0009142,0.0009142,0.0009142
28,520.335,1.27697,0.72727,0.99551,0.6911,0.61223,0.64815,0.31924,1.4041,0.88114,1.13239,0.0009109,0.0009109,0.0009109
29,537.764,1.22636,0.71488,0.9843,0.80617,0.78296,0.8233,0.39928,1.27819,0.78019,1.06212,0.0009076,0.0009076,0.0009076
30,556.336,1.30645,0.75689,0.99617,0.7966,0.76366,0.78923,0.38123,1.27648,0.79066,1.03747,0.0009043,0.0009043,0.0009043
31,573.744,1.24569,0.68168,0.99086,0.72188,0.76638,0.79069,0.39774,1.2962,0.76076,1.04075,0.000901,0.000901,0.000901
32,592.308,1.23394,0.64722,0.9777,0.85833,0.80734,0.84282,0.43494,1.2267,0.64382,1.02605,0.0008977,0.0008977,0.0008977
33,610.007,1.28618,0.67719,0.99989,0.76949,0.81614,0.84868,0.42667,1.29017,0.70735,1.05245,0.0008944,0.0008944,0.0008944
34,628.753,1.28829,0.88794,0.98867,0.79843,0.83969,0.85595,0.43204,1.21962,0.73724,1.04782,0.0008911,0.0008911,0.0008911
35,646.164,1.2521,0.67082,0.985,0.83456,0.81958,0.85159,0.43569,1.20259,0.65769,1.02651,0.0008878,0.0008878,0.0008878
36,665.027,1.2589,0.63025,0.98499,0.83732,0.80076,0.85131,0.46521,1.14126,0.59246,1.00365,0.0008845,0.0008845,0.0008845
37,682.608,1.21316,0.65126,0.98218,0.71713,0.79605,0.84239,0.4124,1.31321,0.73757,1.05394,0.0008812,0.0008812,0.0008812
38,701.27,1.29348,0.69607,1.00982,0.87936,0.71821,0.84923,0.45205,1.15648,0.72183,0.99102,0.0008779,0.0008779,0.0008779
39,718.714,1.25098,0.66618,0.9859,0.73412,0.80208,0.81532,0.41528,1.24202,0.79159,1.02879,0.0008746,0.0008746,0.0008746
40,737.312,1.2833,0.64487,0.97034,0.61195,0.75916,0.73382,0.38646,1.24296,0.88276,1.04236,0.0008713,0.0008713,0.0008713
41,754.859,1.26244,0.68353,0.97669,0.68178,0.67219,0.71741,0.33575,1.50068,0.82699,1.11186,0.000868,0.000868,0.000868
42,773.48,1.30703,0.65742,0.99664,0.85768,0.8113,0.86039,0.46646,1.13217,0.59503,0.99046,0.0008647,0.0008647,0.0008647
43,791.212,1.18046,0.59122,0.95422,0.84534,0.80257,0.84574,0.44143,1.18335,0.6383,1.0059,0.0008614,0.0008614,0.0008614
44,809.877,1.234,0.62089,0.97712,0.79642,0.84273,0.84788,0.44735,1.17694,0.62057,1.00874,0.0008581,0.0008581,0.0008581
45,827.233,1.1978,0.60185,0.95159,0.82093,0.82721,0.84593,0.45609,1.15946,0.60764,0.99771,0.0008548,0.0008548,0.0008548
46,845.876,1.17817,0.67171,0.98533,0.87134,0.828,0.86105,0.47617,1.15485,0.60523,0.96866,0.0008515,0.0008515,0.0008515
47,863.468,1.24633,0.63271,0.97508,0.85264,0.86349,0.88368,0.47024,1.20278,0.60274,1.00858,0.0008482,0.0008482,0.0008482
48,882.165,1.20093,0.59765,0.9548,0.87045,0.81644,0.86773,0.46839,1.15326,0.56808,0.98757,0.0008449,0.0008449,0.0008449
49,899.578,1.16159,0.56622,0.9518,0.82979,0.86222,0.86887,0.47186,1.16733,0.56251,1.01667,0.0008416,0.0008416,0.0008416
50,918.179,1.22097,0.60343,0.97021,0.82052,0.79798,0.8488,0.43693,1.30206,0.69124,1.02767,0.0008383,0.0008383,0.0008383
51,935.671,1.22959,0.60501,0.96731,0.73521,0.69581,0.7441,0.4108,1.23082,0.82966,1.0398,0.000835,0.000835,0.000835
52,954.245,1.25113,0.60411,0.97395,0.84333,0.83814,0.87446,0.4653,1.11362,0.56908,0.96432,0.0008317,0.0008317,0.0008317
53,971.724,1.22831,0.61641,0.98135,0.8189,0.82699,0.86952,0.46594,1.13835,0.61568,0.99063,0.0008284,0.0008284,0.0008284
54,990.39,1.20063,0.58818,0.96245,0.87348,0.81401,0.87756,0.47242,1.12468,0.56196,0.99016,0.0008251,0.0008251,0.0008251
55,1007.75,1.19168,0.5927,0.95543,0.81879,0.78209,0.82039,0.4443,1.17376,0.5819,1.01085,0.0008218,0.0008218,0.0008218
56,1026.43,1.23248,0.60462,0.9709,0.87127,0.8204,0.88232,0.48104,1.14931,0.57338,0.99774,0.0008185,0.0008185,0.0008185
57,1044,1.19588,0.59097,0.95239,0.80135,0.75497,0.81728,0.41078,1.3427,0.68379,1.0657,0.0008152,0.0008152,0.0008152
58,1062.69,1.17487,0.57882,0.95445,0.85835,0.83708,0.86678,0.46053,1.16643,0.58485,1.00066,0.0008119,0.0008119,0.0008119
59,1080.13,1.20354,0.57502,0.95323,0.84238,0.82485,0.86837,0.47065,1.15468,0.55745,1.00403,0.0008086,0.0008086,0.0008086
60,1098.73,1.17648,0.59304,0.953,0.85658,0.81604,0.86275,0.45633,1.17303,0.5956,1.01291,0.0008053,0.0008053,0.0008053
61,1116.11,1.14542,0.57452,0.95633,0.86851,0.85723,0.88132,0.46082,1.19107,0.57651,1.00202,0.000802,0.000802,0.000802
62,1134.69,1.1838,0.59131,0.95123,0.87262,0.8669,0.88351,0.47455,1.13938,0.56459,0.99276,0.0007987,0.0007987,0.0007987
63,1152.17,1.2088,0.57715,0.96431,0.87721,0.86433,0.89508,0.47376,1.16024,0.57657,0.98034,0.0007954,0.0007954,0.0007954
64,1170.79,1.22206,0.57956,0.97074,0.82032,0.7784,0.81864,0.43305,1.21489,0.77089,0.99325,0.0007921,0.0007921,0.0007921
65,1188.23,1.18969,0.57165,0.95792,0.83485,0.79047,0.8351,0.44081,1.19242,0.64517,0.9924,0.0007888,0.0007888,0.0007888
66,1207.44,1.2449,0.60915,0.95894,0.77635,0.85746,0.8777,0.43763,1.27844,0.69327,0.99738,0.0007855,0.0007855,0.0007855
67,1224.81,1.21133,0.99871,0.93891,0.80055,0.83573,0.86346,0.45089,1.17241,0.62765,0.99331,0.0007822,0.0007822,0.0007822
68,1243.44,1.16308,0.57032,0.95912,0.84024,0.83038,0.86075,0.46195,1.15852,0.54966,0.98929,0.0007789,0.0007789,0.0007789
69,1260.88,1.19099,0.59236,0.9593,0.83479,0.84068,0.87176,0.46467,1.15894,0.58499,0.97711,0.0007756,0.0007756,0.0007756
70,1279.55,1.17447,0.58722,0.94825,0.81738,0.88971,0.87727,0.46278,1.15354,0.60797,1.00233,0.0007723,0.0007723,0.0007723
71,1296.96,1.19499,0.6084,0.96319,0.81961,0.83932,0.85963,0.46461,1.15752,0.59954,1.00183,0.000769,0.000769,0.000769
72,1315.55,1.16358,0.58472,0.93845,0.81466,0.81089,0.83678,0.46194,1.15064,0.57248,0.99965,0.0007657,0.0007657,0.0007657
73,1332.96,1.1529,0.63747,0.9549,0.86342,0.82417,0.86168,0.44082,1.30031,0.62111,1.01402,0.0007624,0.0007624,0.0007624
74,1351.62,1.16261,0.55711,0.94441,0.88202,0.83367,0.87411,0.45365,1.22904,0.56416,1.00384,0.0007591,0.0007591,0.0007591
75,1369,1.20239,0.58293,0.95994,0.82357,0.83038,0.85825,0.45684,1.15946,0.55797,0.99623,0.0007558,0.0007558,0.0007558
76,1387.65,1.1905,0.56365,0.96666,0.89575,0.85669,0.89752,0.48273,1.11924,0.52982,0.9696,0.0007525,0.0007525,0.0007525
77,1405.25,1.23276,0.57502,0.94417,0.83875,0.90051,0.89543,0.46244,1.18636,0.55525,1.00486,0.0007492,0.0007492,0.0007492
78,1423.94,1.18901,0.577,0.97218,0.79845,0.89741,0.90051,0.47314,1.12755,0.54459,0.98034,0.0007459,0.0007459,0.0007459
79,1441.36,1.1651,0.56355,0.94226,0.84815,0.78717,0.84721,0.43751,1.31579,0.64794,1.0324,0.0007426,0.0007426,0.0007426
80,1459.95,1.19429,0.57188,0.95804,0.75539,0.77567,0.81625,0.4224,1.24496,0.69875,1.00971,0.0007393,0.0007393,0.0007393
81,1477.38,1.18202,0.57431,0.93543,0.81182,0.80206,0.85533,0.46168,1.11917,0.61218,0.98415,0.000736,0.000736,0.000736
82,1495.95,1.22023,0.55615,0.95686,0.88017,0.81182,0.86324,0.46959,1.12915,0.53097,0.98303,0.0007327,0.0007327,0.0007327
83,1513.37,1.18799,0.84423,0.95319,0.90096,0.83603,0.89888,0.47363,1.13028,0.52774,0.97113,0.0007294,0.0007294,0.0007294
84,1532.1,1.20141,0.59053,0.95291,0.85913,0.81852,0.87298,0.45743,1.12636,0.55497,0.97941,0.0007261,0.0007261,0.0007261
85,1549.47,1.19705,0.56604,0.95945,0.84598,0.8184,0.87033,0.45635,1.17452,0.59067,0.99441,0.0007228,0.0007228,0.0007228
86,1568.1,1.18568,0.56436,0.95435,0.87938,0.78432,0.85683,0.44829,1.23216,0.58864,0.98389,0.0007195,0.0007195,0.0007195
87,1585.46,1.17574,0.55235,0.94501,0.82524,0.83038,0.84838,0.45043,1.20018,0.58892,0.97863,0.0007162,0.0007162,0.0007162
88,1604.12,1.13043,0.55611,0.94,0.82451,0.82653,0.86543,0.46389,1.18623,0.56496,0.99109,0.0007129,0.0007129,0.0007129
89,1621.57,1.22136,0.5809,0.98368,0.82102,0.8413,0.88774,0.48447,1.11604,0.58762,0.96434,0.0007096,0.0007096,0.0007096
90,1640.42,1.12428,0.55723,0.94486,0.89578,0.84527,0.89305,0.47019,1.23152,0.57504,1.00112,0.0007063,0.0007063,0.0007063
91,1657.83,1.18895,0.58308,0.95633,0.90691,0.85011,0.89549,0.49837,1.10738,0.5338,0.9613,0.000703,0.000703,0.000703
92,1676.66,1.16169,0.56297,0.94589,0.90708,0.85117,0.90945,0.49617,1.13137,0.54344,0.98447,0.0006997,0.0006997,0.0006997
93,1694.1,1.14499,0.54607,0.95585,0.88738,0.85129,0.8936,0.48779,1.10808,0.53927,0.98124,0.0006964,0.0006964,0.0006964
94,1712.75,1.14529,0.54573,0.93899,0.89187,0.86053,0.90331,0.47566,1.14233,0.53851,0.98116,0.0006931,0.0006931,0.0006931
95,1730.13,1.20304,0.56955,0.95965,0.88408,0.87854,0.91052,0.48727,1.12524,0.53485,0.98187,0.0006898,0.0006898,0.0006898
96,1748.76,1.15719,0.55352,0.94743,0.88535,0.8588,0.90325,0.47278,1.18921,0.54366,0.99523,0.0006865,0.0006865,0.0006865
97,1766.11,1.16177,0.54624,0.94564,0.88938,0.86144,0.8979,0.4743,1.14534,0.55379,0.97371,0.0006832,0.0006832,0.0006832
98,1784.82,1.15288,0.55373,0.93584,0.87104,0.85774,0.89759,0.48349,1.16772,0.55974,0.97712,0.0006799,0.0006799,0.0006799
99,1802.26,1.13764,0.54653,0.93295,0.88585,0.86313,0.882,0.4817,1.09548,0.53076,0.95999,0.0006766,0.0006766,0.0006766
100,1820.86,1.12396,0.54063,0.93988,0.87999,0.86104,0.88716,0.49759,1.07752,0.51882,0.96241,0.0006733,0.0006733,0.0006733
101,1838.29,1.23967,0.59593,0.95394,0.84903,0.84459,0.87263,0.46938,1.14629,0.53031,0.97376,0.00067,0.00067,0.00067
102,1856.84,1.07145,1.79935,0.87357,0.90897,0.82374,0.8821,0.47389,1.14856,0.53247,0.97509,0.0006667,0.0006667,0.0006667
103,1874.26,1.2299,0.58942,0.98095,0.83452,0.80353,0.82485,0.44203,1.22859,0.62745,1.01149,0.0006634,0.0006634,0.0006634
104,1892.9,1.18106,0.56595,0.96515,0.85138,0.80288,0.85973,0.47371,1.10237,0.55239,0.98342,0.0006601,0.0006601,0.0006601
105,1910.27,1.3196,0.7833,1.08746,0.84081,0.85551,0.87477,0.47938,1.12081,0.55082,0.97152,0.0006568,0.0006568,0.0006568
106,1928.93,1.21404,0.60364,0.95484,0.88993,0.87196,0.91077,0.4938,1.10423,0.52423,0.96837,0.0006535,0.0006535,0.0006535
107,1946.36,1.15731,0.54491,0.93185,0.87678,0.87017,0.88841,0.48211,1.12908,0.52121,0.97416,0.0006502,0.0006502,0.0006502
108,1965.01,1.16222,0.55858,0.93834,0.84542,0.87229,0.87494,0.46152,1.20763,0.54304,1.00674,0.0006469,0.0006469,0.0006469
109,1982.45,1.23693,0.62613,0.9885,0.79581,0.7626,0.79743,0.42465,1.20794,0.60974,1.01588,0.0006436,0.0006436,0.0006436
110,2001.09,1.11063,0.52599,0.93396,0.84698,0.85215,0.88634,0.47828,1.1289,0.52207,0.9911,0.0006403,0.0006403,0.0006403
111,2018.51,1.17598,0.56428,0.94493,0.75395,0.75363,0.80589,0.38818,1.48117,0.84153,1.09809,0.000637,0.000637,0.000637
112,2037.1,1.16108,0.52596,0.94279,0.90007,0.83429,0.89261,0.48567,1.13416,0.5504,0.99653,0.0006337,0.0006337,0.0006337
113,2054.55,1.17593,0.54694,0.94613,0.89385,0.81219,0.86079,0.48244,1.12285,0.56433,0.9773,0.0006304,0.0006304,0.0006304
114,2073.21,1.2297,0.56846,0.97756,0.89465,0.85222,0.88857,0.47551,1.16131,0.54912,0.96683,0.0006271,0.0006271,0.0006271
115,2090.59,1.14563,0.54897,0.94833,0.87757,0.84564,0.88755,0.46989,1.11358,0.53291,0.95341,0.0006238,0.0006238,0.0006238
116,2109.27,1.16437,0.57679,0.94913,0.87773,0.8841,0.87694,0.46455,1.10482,0.52684,0.96324,0.0006205,0.0006205,0.0006205
117,2126.64,1.17023,0.54503,0.96374,0.88232,0.91934,0.9087,0.49404,1.11665,0.51493,0.95358,0.0006172,0.0006172,0.0006172
118,2145.33,1.16673,0.53071,0.93294,0.88112,0.86892,0.89223,0.49587,1.12915,0.52705,0.96011,0.0006139,0.0006139,0.0006139
119,2162.75,1.16161,0.54184,0.93744,0.84212,0.86011,0.87206,0.45644,1.23683,0.5569,0.99472,0.0006106,0.0006106,0.0006106
120,2181.32,1.1346,0.54093,0.93443,0.88047,0.86445,0.90387,0.49526,1.11677,0.52674,0.9652,0.0006073,0.0006073,0.0006073
121,2198.75,1.15186,0.54863,0.93996,0.87046,0.91117,0.91331,0.49593,1.11086,0.51192,0.96802,0.000604,0.000604,0.000604
122,2217.33,1.10325,0.51155,0.92909,0.83395,0.8976,0.87833,0.47813,1.15565,0.51862,0.9874,0.0006007,0.0006007,0.0006007
123,2234.74,1.1616,0.55956,0.95552,0.88278,0.8917,0.90494,0.50053,1.12914,0.52012,0.98332,0.0005974,0.0005974,0.0005974
124,2253.59,1.31464,0.66164,1.04309,0.88087,0.85423,0.8716,0.48047,1.1216,0.53153,0.97465,0.0005941,0.0005941,0.0005941
125,2270.95,1.09847,0.50983,0.92144,0.86745,0.86173,0.86881,0.47807,1.12418,0.52574,0.97325,0.0005908,0.0005908,0.0005908
126,2289.54,1.12807,0.51592,0.9298,0.8792,0.87886,0.88522,0.48439,1.14899,0.52058,0.96337,0.0005875,0.0005875,0.0005875
127,2306.86,1.12773,0.53666,0.92064,0.86782,0.88107,0.89676,0.49392,1.13939,0.53066,0.96557,0.0005842,0.0005842,0.0005842
128,2325.52,1.10232,0.51736,0.92878,0.85079,0.8709,0.89195,0.48275,1.20041,0.55323,0.99539,0.0005809,0.0005809,0.0005809
129,2343,1.17082,0.54269,0.93679,0.87766,0.87196,0.90778,0.50909,1.10897,0.50105,0.96468,0.0005776,0.0005776,0.0005776
130,2361.8,1.12932,0.51178,0.92946,0.85718,0.88183,0.89213,0.47892,1.191,0.52017,0.99877,0.0005743,0.0005743,0.0005743
131,2379.2,1.11438,0.51616,0.91938,0.88268,0.89604,0.89875,0.48799,1.13863,0.50539,0.98221,0.000571,0.000571,0.000571
132,2397.74,1.09794,0.50849,0.93511,0.88815,0.90818,0.90727,0.49555,1.10584,0.49636,0.96873,0.0005677,0.0005677,0.0005677
133,2415.14,1.16478,0.53449,0.94537,0.87223,0.86551,0.90011,0.49213,1.11489,0.51041,0.9814,0.0005644,0.0005644,0.0005644
134,2433.78,1.12325,0.51986,0.91927,0.89172,0.89775,0.91496,0.51229,1.0803,0.49976,0.95795,0.0005611,0.0005611,0.0005611
135,2451.35,1.1111,0.55367,0.94632,0.88329,0.8796,0.90951,0.50121,1.14131,0.51853,0.98069,0.0005578,0.0005578,0.0005578
136,2470.01,1.14235,0.52483,0.94033,0.92504,0.86222,0.91591,0.5101,1.07475,0.50904,0.95352,0.0005545,0.0005545,0.0005545
137,2487.36,1.11429,0.51849,0.91269,0.89033,0.89446,0.90893,0.50276,1.11925,0.53558,0.97253,0.0005512,0.0005512,0.0005512
138,2505.97,1.08452,0.51431,0.92693,0.89041,0.89939,0.91609,0.51833,1.11385,0.5436,0.96223,0.0005479,0.0005479,0.0005479
139,2523.61,1.10729,0.52266,0.92993,0.89166,0.89178,0.90204,0.50642,1.14464,0.5297,0.9672,0.0005446,0.0005446,0.0005446
140,2542.17,1.09738,0.5174,0.91788,0.87823,0.87162,0.89872,0.48412,1.17185,0.51927,0.99123,0.0005413,0.0005413,0.0005413
141,2559.65,1.11655,0.5437,0.93661,0.87376,0.90155,0.90792,0.4959,1.09546,0.50704,0.95932,0.000538,0.000538,0.000538
142,2578.26,1.12651,0.52041,0.94585,0.88825,0.91628,0.91559,0.50225,1.07459,0.49347,0.9503,0.0005347,0.0005347,0.0005347
143,2595.69,1.04071,0.49102,0.91546,0.87227,0.82957,0.86749,0.48858,1.1164,0.53167,0.96677,0.0005314,0.0005314,0.0005314
144,2614.36,1.11154,0.502,0.93128,0.81176,0.83944,0.85343,0.47124,1.15378,0.53683,0.96797,0.0005281,0.0005281,0.0005281
