epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.5685,1.9976,4.92514,2.31409,0.55207,0.05556,0.03187,0.01507,2.30785,4.99706,2.91059,0.09208,8e-05,8e-05
2,36.4683,1.75783,4.73882,2.08698,0.6997,0.2597,0.26469,0.15331,1.24698,6.89668,2.09924,0.0831694,0.000169439,0.000169439
3,48.8614,1.3809,2.18401,1.88199,0.72727,0.27778,0.32098,0.11207,1.84365,18.7841,4.70137,0.0742583,0.000258284,0.000258284
4,61.8891,1.41477,1.63255,1.91414,0.21164,0.18056,0.16556,0.05807,nan,nan,nan,0.0653465,0.000346535,0.000346535
5,74.8629,1.48161,1.61205,1.99135,0,0,0,0,nan,nan,nan,0.0564342,0.000434192,0.000434192
6,87.7581,1.38406,1.40801,1.86281,0,0,0,0,nan,nan,nan,0.0475213,0.000521255,0.000521255
7,100.692,1.31252,1.36234,1.78922,0,0,0,0,nan,nan,nan,0.0386077,0.000607724,0.000607724
8,113.53,1.47359,1.48041,1.98366,0,0,0,0,nan,nan,nan,0.0296936,0.000693599,0.000693599
9,126.416,1.38805,1.42183,1.98477,0,0,0,0,nan,nan,nan,0.0207789,0.00077888,0.00077888
10,139.378,1.42171,1.46725,1.93762,0,0,0,0,nan,nan,nan,0.0118636,0.000863567,0.000863567
11,152.197,1.48885,1.42151,1.92557,0,0,0,0,nan,nan,nan,0.00294766,0.00094766,0.00094766
12,165.023,1.5804,1.52523,2.07069,0,0,0,0,nan,nan,nan,0.0009637,0.0009637,0.0009637
13,177.863,1.47364,1.39061,1.88025,0,0,0,0,nan,nan,nan,0.0009604,0.0009604,0.0009604
14,190.663,1.22652,1.25695,1.7899,0,0,0,0,nan,nan,nan,0.0009571,0.0009571,0.0009571
15,203.608,1.28511,1.14837,1.8537,0.27358,0.18056,0.10283,0.05637,nan,nan,nan,0.0009538,0.0009538,0.0009538
16,216.477,1.38966,1.29983,1.91952,0.04268,0.61111,0.03791,0.01551,2.57868,27.6518,5.40835,0.0009505,0.0009505,0.0009505
17,229.345,1.37086,1.34906,1.91454,0.07027,0.43056,0.06721,0.02995,2.93455,8.78289,5.15386,0.0009472,0.0009472,0.0009472
18,242.169,1.24076,1.13366,1.76077,0.25152,0.18056,0.19158,0.0497,nan,nan,nan,0.0009439,0.0009439,0.0009439
19,255.036,1.32912,1.2111,1.80265,0.25149,0.18056,0.14036,0.06591,2.68456,4.61025,3.6699,0.0009406,0.0009406,0.0009406
20,267.902,1.15388,1.02653,1.66246,0,0,0,0,3.51938,4.87155,3.98316,0.0009373,0.0009373,0.0009373
21,280.766,1.09234,0.99536,1.6561,0.60267,0.29167,0.2565,0.1073,2.36846,3.75774,3.25828,0.000934,0.000934,0.000934
22,293.616,1.27694,1.14205,1.85597,0.47044,0.56047,0.52805,0.15495,2.11208,5.5475,3.35631,0.0009307,0.0009307,0.0009307
23,306.698,1.24236,1.08831,1.78744,0.24851,0.44515,0.27484,0.12903,2.18438,3.18296,3.24397,0.0009274,0.0009274,0.0009274
24,319.528,1.26335,1.13844,1.77075,0.61938,0.11111,0.06516,0.01412,2.95276,7.17424,3.97952,0.0009241,0.0009241,0.0009241
25,332.374,1.17953,0.97645,1.76726,0.19568,0.32864,0.12456,0.05142,2.0452,10.8599,3.29135,0.0009208,0.0009208,0.0009208
26,345.226,1.26998,1.05361,1.77994,0.01346,0.58333,0.01462,0.00481,2.25095,86.0373,3.82818,0.0009175,0.0009175,0.0009175
27,358.09,1.21247,0.8867,1.7237,0.01534,0.33333,0.01926,0.00746,2.27339,51.6347,3.73444,0.0009142,0.0009142,0.0009142
28,370.94,1.14243,0.90989,1.70865,0.59133,0.16667,0.116,0.05036,1.99567,3.63872,3.31391,0.0009109,0.0009109,0.0009109
29,383.733,1.20733,1.11372,1.71742,0.04665,0.16667,0.03022,0.00659,2.88429,3.35799,5.03549,0.0009076,0.0009076,0.0009076
30,396.592,1.12193,0.96662,1.74485,0.17579,0.40278,0.25246,0.12009,2.24859,3.88107,3.05067,0.0009043,0.0009043,0.0009043
