epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9636,1.29818,4.44801,1.28471,0.00232,0.02976,0.00149,0.00125,1.11622,4.45317,1.23197,0.09703,3e-05,3e-05
2,23.5094,1.33579,4.42579,1.22297,0.00221,0.02976,0.00141,0.00108,1.09898,4.40641,1.20779,0.0930698,6.9769e-05,6.9769e-05
3,28.8257,1.33114,3.96089,1.22533,0.70682,0.22157,0.24031,0.19978,0.97498,6.97532,0.98864,0.0891093,0.000109274,0.000109274
4,35.7815,1.10614,2.17308,1.0253,0.17627,0.42119,0.31261,0.26451,1.12351,4.48751,1.01894,0.0851485,0.000148515,0.000148515
5,42.6512,1.02095,1.38,0.99421,0.65749,0.44434,0.48927,0.40516,1.02309,2.14929,0.928,0.0811875,0.000187492,0.000187492
6,49.4581,1.051,1.30514,1.03096,0.48928,0.16375,0.23188,0.19738,nan,nan,nan,0.0772262,0.000226205,0.000226205
7,55.9315,0.95735,1.18501,0.99469,0,0,0,0,nan,nan,nan,0.0732647,0.000264654,0.000264654
8,62.4348,0.94781,1.1118,0.96423,0,0,0,0,nan,nan,nan,0.0693028,0.000302839,0.000302839
9,69.0104,0.9432,1.0837,0.97351,0,0,0,0,nan,nan,nan,0.0653408,0.00034076,0.00034076
10,75.4911,0.98615,1.08858,1.00008,0,0,0,0,nan,nan,nan,0.0613784,0.000378417,0.000378417
11,81.951,0.99108,1.11834,1.02882,0,0,0,0,nan,nan,nan,0.0574158,0.00041581,0.00041581
12,88.432,0.93748,0.94954,0.93386,0,0,0,0,nan,nan,nan,0.0534529,0.000452939,0.000452939
13,94.9074,0.93936,0.9426,0.95342,0,0,0,0,nan,nan,nan,0.0494898,0.000489804,0.000489804
14,101.436,0.93289,0.89464,0.92175,0.10355,0.02965,0.05857,0.05485,nan,nan,nan,0.0455264,0.000526405,0.000526405
15,107.952,0.89936,0.94626,0.94388,0.1,0.01333,0.05667,0.04533,nan,nan,nan,0.0415627,0.000562742,0.000562742
16,114.407,0.92448,0.91852,0.97726,0.20104,0.04121,0.11047,0.08905,nan,nan,nan,0.0375988,0.000598815,0.000598815
17,120.898,0.9733,0.89326,0.96498,0.00035,0.00833,0.00019,0.00017,nan,nan,nan,0.0336346,0.000634624,0.000634624
18,127.355,0.92298,0.8666,0.97314,0.10126,0.01976,0.054,0.0485,nan,nan,nan,0.0296702,0.000670169,0.000670169
19,133.818,0.88011,0.80397,0.95066,0.05,0.03333,0.03333,0.02667,nan,nan,nan,0.0257055,0.00070545,0.00070545
20,140.279,0.88435,0.81397,0.95815,0.2381,0.17031,0.09295,0.06721,nan,nan,nan,0.0217405,0.000740467,0.000740467
21,146.704,0.86917,0.8105,0.93009,0.60741,0.21308,0.22846,0.16895,nan,nan,nan,0.0177752,0.00077522,0.00077522
22,153.154,0.90401,0.84016,0.95094,0.43673,0.55944,0.43705,0.30767,nan,nan,nan,0.0138097,0.000809709,0.000809709
23,159.671,0.88411,0.74632,0.92885,0.49519,0.66502,0.48887,0.36478,nan,nan,nan,0.00984393,0.000843934,0.000843934
24,166.135,0.89014,0.8692,0.97653,0.39668,0.69593,0.46446,0.34992,nan,nan,nan,0.00587789,0.000877895,0.000877895
25,172.596,0.89311,0.76955,0.94605,0.52254,0.55447,0.42301,0.32495,nan,nan,nan,0.00191159,0.000911592,0.000911592
26,179.074,0.92088,0.8075,0.98602,0.35605,0.63897,0.53622,0.41727,1.00093,2.67241,1.03999,0.0009175,0.0009175,0.0009175
27,185.81,0.97231,0.78231,0.98638,0.69084,0.58908,0.7123,0.54119,0.95307,1.67189,0.9751,0.0009142,0.0009142,0.0009142
28,192.591,0.93536,0.90205,0.99153,0.52813,0.61751,0.61108,0.47425,0.89836,2.12458,0.9629,0.0009109,0.0009109,0.0009109
29,199.043,0.93413,0.75842,0.97257,0.52813,0.61751,0.61108,0.47425,0.89836,2.12458,0.9629,0.0009076,0.0009076,0.0009076
30,205.512,0.89984,0.68237,0.92456,0.62729,0.78437,0.69349,0.55262,0.9268,2.35455,0.97071,0.0009043,0.0009043,0.0009043
31,212.277,0.84726,0.76671,0.9678,0.62923,0.81449,0.7073,0.57821,0.90907,2.41598,0.94831,0.000901,0.000901,0.000901
32,219.03,0.87145,0.71414,0.90144,0.66294,0.78551,0.73529,0.61051,0.90486,1.90755,0.9591,0.0008977,0.0008977,0.0008977
33,225.75,0.92886,0.72914,0.96514,0.72882,0.71675,0.77661,0.628,0.85884,1.74499,0.95275,0.0008944,0.0008944,0.0008944
34,232.48,0.88848,0.70628,0.96342,0.72882,0.71675,0.77661,0.628,0.85884,1.74499,0.95275,0.0008911,0.0008911,0.0008911
35,239.141,0.83656,0.71347,0.93564,0.69974,0.70012,0.77641,0.60692,0.89826,1.57377,0.94493,0.0008878,0.0008878,0.0008878
36,245.644,0.92597,0.76139,0.97735,0.61894,0.75578,0.73509,0.57463,0.86924,1.3603,0.9308,0.0008845,0.0008845,0.0008845
37,252.154,0.96109,0.88165,0.99124,0.63704,0.81435,0.78702,0.61837,0.85811,1.18099,0.92795,0.0008812,0.0008812,0.0008812
38,258.673,0.92736,0.73207,0.9606,0.61038,0.81447,0.79325,0.65001,0.81129,1.31728,0.91858,0.0008779,0.0008779,0.0008779
39,265.337,0.82916,0.68219,0.92657,0.61038,0.81447,0.79325,0.65001,0.81129,1.31728,0.91858,0.0008746,0.0008746,0.0008746
40,272.087,0.92288,0.76092,0.94255,0.66699,0.80957,0.81085,0.66682,0.85151,1.21308,0.9228,0.0008713,0.0008713,0.0008713
41,278.827,0.86824,0.65876,0.94037,0.69104,0.84703,0.83137,0.67512,0.82441,1.00292,0.92348,0.000868,0.000868,0.000868
42,285.596,0.80442,0.65774,0.93593,0.56723,0.88939,0.80551,0.65318,0.87262,1.00629,0.94218,0.0008647,0.0008647,0.0008647
43,292.216,0.81791,0.62438,0.90577,0.72152,0.62749,0.7855,0.65556,0.82801,1.32579,0.91798,0.0008614,0.0008614,0.0008614
44,298.633,0.8083,0.65104,0.89025,0.72152,0.62749,0.7855,0.65556,0.82801,1.32579,0.91798,0.0008581,0.0008581,0.0008581
45,305.11,0.83357,0.66023,0.92308,0.64558,0.86318,0.78744,0.61832,0.83543,1.29473,0.91462,0.0008548,0.0008548,0.0008548
46,311.57,0.85951,0.7167,0.93438,0.76125,0.90194,0.86519,0.66383,0.88186,0.9734,0.91621,0.0008515,0.0008515,0.0008515
47,318.049,0.85327,0.69175,0.92516,0.79544,0.89985,0.8735,0.69636,0.86634,0.80494,0.92223,0.0008482,0.0008482,0.0008482
48,324.814,0.8294,0.71901,0.94278,0.71046,0.85643,0.83651,0.67852,0.83865,0.78942,0.91398,0.0008449,0.0008449,0.0008449
49,331.31,0.78004,0.62326,0.91004,0.71046,0.85643,0.83651,0.67852,0.83865,0.78942,0.91398,0.0008416,0.0008416,0.0008416
50,337.777,0.85083,0.67722,0.94572,0.59543,0.88696,0.8305,0.66419,0.89017,0.9556,0.93246,0.0008383,0.0008383,0.0008383
51,344.314,0.84618,0.65345,0.94217,0.79282,0.71538,0.8195,0.6365,0.83508,0.96863,0.91285,0.000835,0.000835,0.000835
52,350.854,0.88488,0.68767,0.96789,0.77308,0.7256,0.80818,0.64205,0.79937,0.97007,0.89434,0.0008317,0.0008317,0.0008317
53,357.351,0.88712,0.64208,0.91702,0.83593,0.74217,0.82649,0.66858,0.78426,0.9552,0.89048,0.0008284,0.0008284,0.0008284
54,363.779,0.77742,0.68631,0.91076,0.83593,0.74217,0.82649,0.66858,0.78426,0.9552,0.89048,0.0008251,0.0008251,0.0008251
