epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4655,2.31935,4.59739,1.66285,0,0,0,0,1.73508,4.76983,1.63885,0.1,0,0
2,17.2247,1.96424,4.60989,1.54057,0,0,0,0,1.73073,4.77,1.62997,0.09901,9.967e-06,9.967e-06
3,19.5278,2.10457,4.53379,1.68362,0,0,0,0,1.73206,4.76755,1.62173,0.0980199,1.9868e-05,1.9868e-05
4,21.5047,2.15993,4.65124,1.55661,0,0,0,0,1.7221,4.76916,1.61197,0.0970297,2.9703e-05,2.9703e-05
5,23.4786,2.1172,4.63838,1.5577,0,0,0,0,1.71936,4.77166,1.60508,0.0960395,3.9472e-05,3.9472e-05
6,25.4396,2.13104,4.65248,1.63276,0,0,0,0,1.72543,4.76975,1.60375,0.0950492,4.9175e-05,4.9175e-05
7,27.4007,2.2679,4.68989,1.62324,0,0,0,0,1.73935,4.76548,1.60246,0.0940588,5.8812e-05,5.8812e-05
8,29.3739,2.10414,4.53356,1.62051,0,0,0,0,1.74561,4.76147,1.59971,0.0930684,6.8383e-05,6.8383e-05
9,31.3398,2.19092,4.57661,1.64138,0,0,0,0,1.74186,4.75831,1.5914,0.0920779,7.7888e-05,7.7888e-05
10,33.2942,2.02238,4.54732,1.58903,0,0,0,0,1.73775,4.74838,1.58461,0.0910873,8.7327e-05,8.7327e-05
11,35.3127,2.39754,4.51246,1.72453,0.70733,0.08333,0.08772,0.07428,1.52328,3.59112,1.17913,0.0900967,9.67e-05,9.67e-05
12,38.099,1.7538,3.27608,1.29304,0.60369,0.17708,0.21019,0.12067,1.42931,5.89969,1.05928,0.089106,0.000106007,0.000106007
13,40.9364,1.7136,2.80546,1.26543,0.26694,0.44981,0.21739,0.13861,1.51463,4.37809,1.13245,0.0881152,0.000115248,0.000115248
14,43.9078,1.5796,2.33876,1.16138,0.18537,0.69595,0.29322,0.1816,1.36568,5.13227,1.06929,0.0871244,0.000124423,0.000124423
15,46.7177,1.42778,1.99778,1.09106,0.18537,0.69595,0.29322,0.1816,1.36568,5.13227,1.06929,0.0861335,0.000133532,0.000133532
16,49.7265,1.37207,1.97821,1.08203,0.38,0.58084,0.34557,0.25123,1.27628,9.52583,1.02955,0.0851426,0.000142575,0.000142575
17,52.6397,1.32076,1.76747,1.06523,0.38,0.58084,0.34557,0.25123,1.27628,9.52583,1.02955,0.0841516,0.000151552,0.000151552
18,56.5096,1.29611,1.71246,1.0287,0.33506,0.57809,0.36266,0.24916,1.32218,8.52999,0.98066,0.0831605,0.000160463,0.000160463
19,59.1287,1.25445,1.63794,0.99014,0.33506,0.57809,0.36266,0.24916,1.32218,8.52999,0.98066,0.0821693,0.000169308,0.000169308
20,61.9121,1.34542,1.69988,1.05379,0.38387,0.60482,0.50062,0.36368,1.22911,10.4563,0.95639,0.0811781,0.000178087,0.000178087
21,64.8377,1.36903,1.43504,1.03973,0.38387,0.60482,0.50062,0.36368,1.22911,10.4563,0.95639,0.0801868,0.0001868,0.0001868
22,68.0571,1.40225,1.58975,1.12862,0.34221,0.61974,0.46158,0.31021,1.35403,11.5081,1.02536,0.0791954,0.000195447,0.000195447
23,70.8676,1.50978,1.56993,1.07237,0.34221,0.61974,0.46158,0.31021,1.35403,11.5081,1.02536,0.078204,0.000204028,0.000204028
24,73.7591,1.51638,1.58641,1.05005,0.39294,0.59256,0.47877,0.33753,1.28349,8.93771,0.99049,0.0772125,0.000212543,0.000212543
25,76.6186,1.21644,1.39578,1.00294,0.39294,0.59256,0.47877,0.33753,1.28349,8.93771,0.99049,0.076221,0.000220992,0.000220992
26,80.3999,1.17738,1.41683,0.98709,0.34492,0.57835,0.46432,0.31969,1.35425,10.3212,1.00684,0.0752294,0.000229375,0.000229375
27,83.1997,1.34789,1.28698,1.0586,0.34492,0.57835,0.46432,0.31969,1.35425,10.3212,1.00684,0.0742377,0.000237692,0.000237692
28,86.0977,1.22414,1.24931,0.99144,0.30237,0.60557,0.4677,0.34724,1.34802,11.9275,1.06053,0.0732459,0.000245943,0.000245943
29,88.9156,1.08705,1.2432,0.97375,0.30237,0.60557,0.4677,0.34724,1.34802,11.9275,1.06053,0.0722541,0.000254128,0.000254128
30,91.8089,1.14112,1.26088,0.99645,0.33249,0.73204,0.48088,0.35477,1.28175,9.66108,1.02437,0.0712622,0.000262247,0.000262247
31,94.6222,1.26959,1.27515,1.00419,0.33249,0.73204,0.48088,0.35477,1.28175,9.66108,1.02437,0.0702703,0.0002703,0.0002703
